2026-04-15 23:08:50,544 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,544 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio_orbit
2026-04-15 23:08:50,565 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,565 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_end
2026-04-15 23:08:50,568 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,568 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:cretaceous
2026-04-15 23:08:50,575 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,575 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon
2026-04-15 23:08:50,578 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,578 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:triassic
2026-04-15 23:08:50,587 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,587 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio
2026-04-15 23:22:13,941 [main] INFO treasure2 | RarityWeightDataHandler.java:67 | loading rarity weights from data packs...
2026-04-15 23:22:13,962 [main] INFO treasure2 | RarityWeightDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:22:13,962 [main] INFO treasure2 | RarityOrderSetDataHandler.java:64 | loading rarity order sets from data packs...
2026-04-15 23:22:13,972 [main] INFO treasure2 | RarityOrderSetDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:22:13,974 [main] INFO treasure2 | RarityLootTableAssociationDataHandler.java:64 | loading rarity loot table associations from data packs...
2026-04-15 23:22:13,980 [main] INFO treasure2 | RarityItemAssociationDataHandler.java:62 | loading rarity item associations from data packs...
2026-04-15 23:22:13,981 [main] INFO treasure2 | RarityBlockAssociationDataHandler.java:62 | loading rarity block associations from data packs...
2026-04-15 23:22:13,987 [main] INFO treasure2 | MobSetDataHandler.java:67 | loading mobsets from data packs...
2026-04-15 23:22:13,997 [main] INFO treasure2 | ChestSubprocessorDataHandler.java:66 | loading chest subprocessors from data packs...
2026-04-15 23:22:14,488 [main] INFO treasure2 | TreasureTags.java:195 | in tags updated event
2026-04-15 23:22:17,702 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:17,704 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:overworld
2026-04-15 23:22:19,349 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,349 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:jurassic
2026-04-15 23:22:19,378 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,379 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_nether
